Altium Designer Pick and Place Locations
C:\Users\choui\AppData\Local\TempReleases\Snapshot\2\Sources\REV 1.01 (2025-02-11)\04 - ASSEMBLY\SerreVo_Controller_PCB PNP XY REV 1.01.csv

========================================================================================================================
File Design Information:

Date:       11-02-25
Time:       11:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Assembly Note","Assembly Type","Polarized","Manufacturer #1","Part Number #1","Supplier 1","Supplier Part Number 1","HelpURL"
"D1","TVS DIODE 5.25V 17V SOT666","","TopLayer","550,506","3163,585","0","","","","","","","",""
"J1","CONN RCP USB2.0 TYP C 24P SMD RA","","TopLayer","158,307","3124,371","270","","","","","","","",""
"J3","Jack Modular Connector 8p8c _RJ45, Ethernet_ Vertical Unshielded Cat6","None","TopLayer","2926,932","2509,357","0","","","","","","","",""
"J2","Jack Modular Connector 8p8c _RJ45, Ethernet_ Vertical Unshielded Cat6","None","TopLayer","2231,848","2512,746","0","","","","","","","",""
"J5","Jack Modular Connector 8p8c _RJ45, Ethernet_ Vertical Unshielded Cat6","None","TopLayer","4340,920","2508,711","0","","","","","","","",""
"J4","Jack Modular Connector 8p8c _RJ45, Ethernet_ Vertical Unshielded Cat6","None","TopLayer","3638,108","2509,357","0","","","","","","","",""
"SER1","SER - SERIAL CARTRIDGE MICRO","","BottomLayer","-22125,630","-17297,480","180","","NONE","","","","","",""
"REV1","REV - REVISION CARTRIDGE MINI","","BottomLayer","-22125,630","-17297,480","180","","NONE","","","","","",""
"D3","LED RED DIFFUSED 1608 SMD","","TopLayer","1684,764","3716,616","0","","","","","","DigiKey","SML-D12U1WT86CT-ND",""
"U4","No Description Available","","TopLayer","798,762","2806,631","180","","","","","","","",""
"MTH2","MTH - MOUNTING HOLE M3 PLATED - M3","M3","TopLayer","4685,039","3779,528","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
